0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
0|0.02499|5|2
2|0.00625|5|1
